STABR,LIBNAME,ADDRESS,CITY,ZIP,CNTY,C_OUT_TY,HOURS,LONGITUD,LATITUDE
ME,DORCAS LIBRARY,28 MAIN STREET,PROSPECT HARBOR,4669,HANCOCK,CE,738,-68.0261231,44.4086473
ME,GRAY PUBLIC LIBRARY,5 HANCOCK STREET,GRAY,4039,CUMBERLAND,CE,2106,-70.3274536,43.8843579
ME,SHAW PUBLIC LIBRARY - GREENVILLE,9 LILY BAY ROAD,GREENVILLE,4441,PISCATAQUIS,CE,2236,-69.591236,45.4597462
ME,GUILFORD MEMORIAL LIBRARY,4 LIBRARY STREET,GUILFORD,4443,PISCATAQUIS,CE,2056,-69.3829644,45.1705481
ME,HUBBARD FREE LIBRARY,115 SECOND STREET,HALLOWELL,4347,KENNEBEC,CE,1300,-69.7913372,44.2858529
ME,EDYTHE DYER COMMUNITY LIBRARY,269 MAIN ROAD NORTH,HAMPDEN,4444,PENOBSCOT,CE,2652,-68.819784,44.751015
ME,ORRS ISLAND LIBRARY,1699 HARPSWELL ISLAND ROAD,ORRS ISLAND,4066,CUMBERLAND,CE,832,-69.9761891,43.7614955
ME,GALLISON MEMORIAL LIBRARY,11 CENTER STREET,HARRINGTON,4643,WASHINGTON,CE,624,-67.8028499,44.6189976
ME,HARRISON VILLAGE LIBRARY,4 FRONT STREET,HARRISON,4040,CUMBERLAND,CE,1144,-70.6798242,44.1097598
ME,BOLSTERS MILLS VILLAGE LIBRARY,659 BOLSTERS MILLS ROAD,HARRISON,4040,CUMBERLAND,CE,144,-70.5975402,44.116465
ME,HARTLAND PUBLIC LIBRARY,16 MILL STREET,HARTLAND,4943,SOMERSET,CE,1768,-69.4515817,44.8831192
ME,SOLDIERS MEMORIAL LIBRARY,85 MAIN STREET,HIRAM,4041,OXFORD,CE,988,-70.7976097,43.8821343
ME,HOLLIS CENTER PUBLIC LIBRARY,14 LITTLE FALLS ROAD,HOLLIS,4042,YORK,CE,1080,-70.5959165,43.6000624
ME,SALMON FALLS LIBRARY,322 OLD ALFRED ROAD,HOLLIS,4042,YORK,CE,728,-70.5545875,43.596053
ME,CARY LIBRARY-HOULTON,107 MAIN STREET,HOULTON,4730,AROOSTOOK,CE,2381,-67.837579,46.1256447
ME,KATAHDIN PUBLIC LIBRARY,20 LIBRARY STREET,ISLAND FALLS,4747,AROOSTOOK,CE,612,-68.2694802,46.0091423
ME,REVERE MEMORIAL LIBRARY,416 MAIN STREET,ISLE-AU-HAUT,4645,KNOX,CE,112,-68.6234909,44.0828404
ME,ALICE L. PENDLETON LIBRARY,309 MAIN ROAD,ISLESBORO,4848,WALDO,CE,1560,-68.90145,44.3031086
ME,JACKMAN PUBLIC LIBRARY,604 MAIN STREET,JACKMAN,4945,SOMERSET,CE,208,-70.2623023,45.6377612
ME,JAY-NILES MEMORIAL LIBRARY,983 MAIN STREET,JAY,4239,FRANKLIN,CE,1300,-70.2377724,44.5481692
ME,PEABODY MEMORIAL LIBRARY,162 MAIN STREET,JONESPORT,4649,WASHINGTON,CE,1304,-67.6048438,44.5312715
ME,KENNEBUNK FREE LIBRARY,112 MAIN STREET,KENNEBUNK,4043,YORK,CE,2620,-70.5376385,43.387528
ME,LOUIS T. GRAVES MEMORIAL LIBRARY,18 MAINE STREET,KENNEBUNKPORT,4046,YORK,CE,2158,-70.4747463,43.3615923
ME,WEBSTER LIBRARY,22 DEPOT STREET,KINGFIELD,4947,FRANKLIN,CE,820,-70.1569859,44.9579377
ME,RICE PUBLIC LIBRARY,8 WENTWORTH STREET,KITTERY,3904,YORK,CE,1530,-70.74277,43.0868501
ME,LEWISTON PUBLIC LIBRARY,200 LISBON STREET,LEWISTON,4240,ANDROSCOGGIN,CE,2411,-70.2164368,44.0953156
ME,ROBERT A. FROST MEMORIAL LIBRARY,42 MAIN STREET,LIMESTONE,4750,AROOSTOOK,CE,1632,-67.8255501,46.9096451
ME,DAVIS MEMORIAL LIBRARY,928 CAPE ROAD,LIMINGTON,4049,YORK,CE,1508,-70.7094924,43.7314715
ME,LINCOLN MEMORIAL LIBRARY,21 WEST BROADWAY,LINCOLN,4457,PENOBSCOT,CE,2236,-68.5066625,45.3628504
ME,LISBON LIBRARY DEPT,28 MAIN STREET,LISBON FALLS,4252,ANDROSCOGGIN,CE,2236,-70.0602954,43.9972296
ME,LIVERMORE PUBLIC LIBRARY,22 CHURCH STREET,LIVERMORE,4253,ANDROSCOGGIN,CE,544,-70.2509734,44.3847997
ME,TREAT MEMORIAL LIBRARY,56 MAIN STREET,LIVERMORE FALLS,4254,ANDROSCOGGIN,CE,1300,-70.19057,44.4745446
ME,CHARLOTTE HOBBS MEMORIAL LIBRARY,227 MAIN STREET,LOVELL,4051,OXFORD,CE,2028,-70.8918743,44.1268202
ME,LUBEC MEMORIAL LIBRARY,55 WATER STREET,LUBEC,4652,WASHINGTON,CE,1530,-66.9834288,44.8606164
ME,PORTER MEMORIAL LIBRARY,92 COURT ST,MACHIAS,4654,WASHINGTON,CE,1581,-67.4597682,44.7156151
ME,MADAWASKA PUBLIC LIBRARY,393 EAST MAIN STREET,MADAWASKA,4756,AROOSTOOK,CE,1976,-68.3232612,47.3553758
ME,MADISON PUBLIC LIBRARY,12 OLD POINT AVENUE,MADISON,4950,SOMERSET,CE,2496,-69.8799651,44.7967398
ME,WALTER T. A. HANSEN MEMORIAL LIBRARY,10 HANSEN STREET,MARS HILL,4758,AROOSTOOK,CE,1560,-67.8687223,46.5134601
ME,MECHANIC FALLS PUBLIC LIBRARY,"108 LEWISTON STREET, 3RD FLOOR",MECHANIC FALLS,4256,ANDROSCOGGIN,CE,1230,-70.3799806,44.1090854
ME,SHAW PUBLIC LIBRARY - MERCER,1015 BEECH HILL RD. SUITE B,MERCER,4957,SOMERSET,CE,624,-69.9284404,44.6756974
ME,MILLINOCKET MEMORIAL LIBRARY,5 MAINE AVENUE,MILLINOCKET,4462,PENOBSCOT,CE,1855,-68.711341,45.6563354
ME,KATAHDIN GEAR LIBRARY,215 PENOBSCOT AVENUE,MILLINOCKET,4448,PENOBSCOT,BR,1040,-68.70912058,45.65683563
ME,MILO FREE PUBLIC LIBRARY,4 PLEASANT STREET,MILO,4463,PISCATAQUIS,CE,1014,-68.9858899,45.2534873
ME,CUMSTON PUBLIC LIBRARY,796 MAIN STREET,MONMOUTH,4259,KENNEBEC,CE,1300,-70.0347436,44.2412022
ME,MONSON PUBLIC LIBRARY,35 GREENVILLE ROAD,MONSON,4464,PISCATAQUIS,CE,728,-69.5025793,45.2879823
ME,NORTHEAST HARBOR LIBRARY,1 JOY ROAD,NORTHEAST HARBOR,4662,HANCOCK,CE,2756,-68.2914039,44.2940239
ME,SOMESVILLE LIBRARY ASSOCIATION,1116 MAIN STREET,MOUNT DESERT,4660,HANCOCK,CE,536,-68.3339919,44.3625904
ME,DR. SHAW MEMORIAL LIBRARY,344 POND ROAD,MOUNT VERNON,4352,KENNEBEC,CE,796,-69.9878641,44.501916
ME,NAPLES PUBLIC LIBRARY,940 ROOSEVELT TRAIL,NAPLES,4055,CUMBERLAND,CE,1444,-70.6069181,43.9702101
ME,NEW GLOUCESTER PUBLIC LIBRARY,379 INTERVALE ROAD,NEW GLOUCESTER,4260,CUMBERLAND,CE,1470,-70.2823152,43.9644091
ME,JIM DITZLER MEMORIAL LIBRARY,37 LIBRARY ROAD,NEW SHARON,4955,FRANKLIN,CE,832,-70.0236011,44.6408234
ME,NEW VINEYARD PUBLIC LIBRARY,20 LAKE STREET,NEW VINEYARD,4956,FRANKLIN,CE,832,-70.1225461,44.8053513
ME,NEWPORT PUBLIC LIBRARY,154 MAIN STREET,NEWPORT,4953,PENOBSCOT,CE,2080,-69.2740153,44.835262
ME,NORRIDGEWOCK PUBLIC LIBRARY,40 MERCER RD.,NORRIDGEWOCK,4957,SOMERSET,CE,1248,-69.8000441,44.7121394
ME,D.A. HURD LIBRARY,41 HIGH STREET,NORTH BERWICK,3906,YORK,CE,1976,-70.7390668,43.3085275
ME,NORWAY MEMORIAL LIBRARY,258 MAIN STREET,NORWAY,4268,OXFORD,CE,2013,-70.539081,44.2126842
ME,OAKLAND PUBLIC LIBRARY,18 CHURCH STREET,OAKLAND,4963,KENNEBEC,CE,1716,-69.7197912,44.5463912
ME,LIBBY MEMORIAL LIBRARY,27 STAPLES STREET,OLD ORCHARD BEACH,4064,YORK,CE,2340,-70.3765513,43.5159267
ME,OLD TOWN PUBLIC LIBRARY,46 MIDDLE STREET,OLD TOWN,4468,PENOBSCOT,CE,2142,-68.6481501,44.93563
ME,ORONO PUBLIC LIBRARY,39 PINE STREET,ORONO,4473,PENOBSCOT,CE,2158,-68.6701093,44.8817787
ME,ORRINGTON PUBLIC LIBRARY,15 SCHOOL STREET,ORRINGTON,4474,PENOBSCOT,CE,1664,-68.8152565,44.7276614
ME,FREELAND HOLMES LIBRARY,109 PLEASANT STREET,OXFORD,4270,OXFORD,CE,832,-70.4961849,44.1321316
ME,PARIS PUBLIC LIBRARY,37 MARKET SQUARE,SOUTH PARIS,4281,OXFORD,CE,2652,-70.5142994,44.2231326
ME,HAMLIN MEMORIAL LIBRARY,16 HANNIBAL HAMLIN DRIVE,SOUTH PARIS,4281,OXFORD,CE,1144,-70.5021237,44.260199
ME,HARVEY MEMORIAL LIBRARY,771 STATE HIGHWAY 150,PARKMAN,4443,PISCATAQUIS,CE,1456,-69.4385455,45.1273877
ME,KEZAR FALLS CIRCULATING LIBRARY,2 WADLEIGH STREET,PARSONSFIELD,4047,YORK,CE,780,-70.8859545,43.8063807
ME,VETERANS MEMORIAL LIBRARY,61 SHIN POND ROAD,PATTEN,4765,PENOBSCOT,CE,884,-68.4472952,45.9972516
ME,PHILLIPS PUBLIC LIBRARY,96 MAIN STREET,PHILLIPS,4966,FRANKLIN,CE,1404,-70.3442676,44.8243867
ME,ALBERT F. TOTMAN LIBRARY,28 PARKER HEAD ROAD,PHIPPSBURG,4562,SAGADAHOC,CE,1978,-69.8128621,43.8195247
